Common_Name,Scientific_Name,Color_of_fur,Lat,Long,State
Baleen whale,Eubalaena australis,Aquamarine,39.9671,-83.0044,Ohio
"Bird, black-throated butcher",Cracticus nigroagularis,Indigo,41.6255,-93.6736,Iowa
Galapagos dove,Zenaida galapagoensis,Violet,31.6948,-106.3,Texas
Black-winged stilt,Himantopus himantopus,Fuscia,31.9714,-81.0716,Georgia
"Moorhen, purple",Porphyrio porphyrio,Red,39.2847,-76.6205,Maryland
Barking gecko,Phylurus milli,Violet,35.2502,-94.3703,Arkansas
Desert tortoise,Gopherus agassizii,Red,42.2719,-83.1545,Michigan
Ring-tailed gecko,Cyrtodactylus louisiadensis,Crimson,37.5593,-77.4471,Virginia
Horned puffin,Fratercula corniculata,Indigo,37.7848,-122.7278,California
Blue duck,Hymenolaimus malacorhynchus,Pink,40.0422,-75.0244,Pennsylvania
"Albatross, galapagos",Diomedea irrorata,Green,39.6269,-119.7081,Nevada
"Sandgrouse, yellow-throated",Pterocles gutturalis,Crimson,33.7866,-118.2987,California
"Stork, white",Ciconia ciconia,Khaki,33.4368,-111.7129,Arizona
"Squirrel, smith's bush",Paraxerus cepapi,Green,27.4544,-82.6358,Florida
"Kingfisher, pied",Ceryle rudis,Yellow,36.8787,-76.2604,Virginia
"Opossum, american virginia",Didelphis virginiana,Orange,26.2288,-80.1635,Florida
Striped hyena,Hyaena hyaena,Indigo,38.9087,-77.0414,District of Columbia
Gambel's quail,Callipepla gambelii,Mauv,36.1693,-115.2828,Nevada
"Creeper, black-tailed tree",Climacteris melanura,Maroon,29.834,-95.4342,Texas
"Dog, black-tailed prairie",Cynomys ludovicianus,Puce,41.1894,-111.9489,Utah
Little grebe,Tachybaptus ruficollis,Orange,42.3319,-71.254,Massachusetts
"Chipmunk, least",Eutamias minimus,Red,45.5806,-122.3748,Oregon
"Nuthatch, red-breasted",Sitta canadensis,Mauv,38.2868,-85.7321,Indiana
Common ringtail,Pseudocheirus peregrinus,Aquamarine,30.2231,-81.7556,Florida
"Kangaroo, brush-tailed rat",Bettongia penicillata,Turquoise,40.2805,-74.712,New Jersey
Savanna baboon,Papio cynocephalus,Green,40.43,-74.4173,New Jersey
Striped hyena,Hyaena hyaena,Indigo,30.3633,-91.0919,Louisiana
